id,gender,bdate,educ,jobcat,salary,salbegin,jobtime,preexp,minority
59,m,5/7/1961,15,1,"$28,050.00 ","$14,250.00 ",94,36,1
60,m,2/16/1959,12,1,"$30,900.00 ","$15,000.00 ",94,102,1
61,m,4/28/1964,8,1,"$22,500.00 ","$9,750.00 ",94,36,1
62,m,7/18/1962,16,3,"$48,000.00 ","$21,750.00 ",93,22,0
63,,8/20/1961,17,3,"$55,000.00 ","$26,250.00 ",93,32,0
64,m,9/28/1963,16,3,"$53,125.00 ","$21,000.00 ",93,48,0
65,m,3/28/1964,8,1,"$21,900.00 ","$14,550.00 ",93,41,0
66,m,2/16/1962,19,3,"$78,125.00 ","$30,000.00 ",93,7,0
67,m,5/28/1964,16,3,"$46,000.00 ","$21,240.00 ",93,35,0
68,m,5/5/1963,16,3,"$45,250.00 ","$21,480.00 ",93,36,0
69,m,6/23/1960,16,3,"$56,550.00 ","$25,000.00 ",93,34,0
70,m,2/8/1962,15,1,"$41,100.00 ","$20,250.00 ",93,27,0
71,m,8/26/1948,17,3,"$82,500.00 ","$34,980.00 ",93,207,0
72,f,1/7/1964,16,1,"$54,000.00 ","$18,000.00 ",93,11,0
73,f,2/9/1968,12,1,"$26,400.00 ","$10,500.00 ",93,0,0
74,f,4/28/1933,15,1,"$33,900.00 ","$19,500.00 ",93,192,0
75,f,8/12/1965,15,1,"$24,150.00 ","$11,550.00 ",93,0,0
76,f,9/3/1967,15,1,"$29,250.00 ","$11,550.00 ",93,11,0
77,f,9/9/1968,12,1,"$27,600.00 ","$11,400.00 ",93,6,0
78,f,8/20/1968,12,1,"$22,950.00 ","$10,500.00 ",93,10,0
79,f,1/23/1962,16,1,"$34,800.00 ","$14,550.00 ",93,8,0
80,f,5/25/1961,16,1,"$51,000.00 ","$18,000.00 ",93,22,0
81,f,3/12/1968,12,1,"$24,300.00 ","$10,950.00 ",93,5,0
82,f,8/28/1947,12,1,"$24,750.00 ","$14,250.00 ",93,193,1
83,f,10/12/1967,12,1,"$22,950.00 ","$11,250.00 ",93,0,1
84,f,3/12/1967,8,1,"$25,050.00 ","$10,950.00 ",93,8,1
85,m,4/9/1962,15,1,"$25,950.00 ","$17,100.00 ",92,42,0
86,m,8/25/1961,15,1,"$31,650.00 ","$15,750.00 ",92,64,0
87,m,10/20/1959,12,1,"$24,150.00 ","$14,100.00 ",92,130,0
88,m,2/10/1962,19,3,"$72,500.00 ","$28,740.00 ",92,10,0
89,m,6/24/1961,19,3,"$68,750.00 ","$27,480.00 ",92,8,0
90,f,2/27/1938,8,1,"$16,200.00 ","$9,750.00 ",92,0,0
91,f,11/4/1967,12,1,"$20,100.00 ","$11,250.00 ",92,24,0
92,f,6/25/1968,8,1,"$24,000.00 ","$10,950.00 ",92,6,0
93,f,3/5/1968,12,1,"$25,950.00 ","$10,950.00 ",92,0,0
94,f,8/4/1950,12,1,"$24,600.00 ","$10,050.00 ",92,44,0
95,f,8/8/1968,12,1,"$28,500.00 ","$10,500.00 ",92,6,0
96,m,10/2/1933,8,2,"$30,750.00 ","$15,000.00 ",92,432,1
97,m,1/18/1953,17,1,"$40,200.00 ","$19,500.00 ",92,168,1
98,m,5/17/1956,8,2,"$30,000.00 ","$15,000.00 ",92,144,1
99,f,7/7/1968,12,1,"$22,050.00 ","$10,950.00 ",92,5,1
100,m,10/25/1963,18,3,"$78,250.00 ","$27,480.00 ",91,47,0
101,m,3/14/1960,16,3,"$60,625.00 ","$22,500.00 ",91,44,0
102,m,3/28/1963,14,1,"$39,900.00 ","$15,750.00 ",91,59,0
103,m,3/17/1959,19,3,"$97,000.00 ","$35,010.00 ",91,68,0
104,m,11/5/1962,15,1,"$27,450.00 ","$15,750.00 ",91,48,0
105,m,3/7/1966,15,1,"$31,650.00 ","$13,500.00 ",91,18,0
106,m,8/4/1962,19,3,"$91,250.00 ","$29,490.00 ",91,23,0
107,f,8/16/1960,12,1,"$25,200.00 ","$14,400.00 ",91,83,0
108,f,7/16/1930,12,1,"$21,000.00 ","$11,550.00 ",91,108,0
109,m,11/10/1963,12,1,"$30,450.00 ","$15,000.00 ",91,49,1
110,m,10/29/1952,15,1,"$28,350.00 ","$18,000.00 ",91,151,1
111,m,11/27/1940,12,,"$30,750.00 ","$9,000.00 ",91,314,1
112,m,6/21/1948,12,2,"$30,750.00 ","$15,000.00 ",91,240,1
113,m,10/6/1959,16,3,"$54,875.00 ","$27,480.00 ",90,68,0
114,m,8/25/1961,14,1,"$37,800.00 ","$16,500.00 ",90,60,0
115,m,5/12/1961,15,1,"$33,450.00 ","$14,100.00 ",90,85,0
116,m,6/9/1962,15,1,"$30,300.00 ","$16,500.00 ",90,16,0
117,f,1/14/1932,12,1,"$31,500.00 ","$18,750.00 ",90,205,0
118,f,3/4/1964,12,1,"$31,650.00 ","$14,250.00 ",90,48,0
119,f,7/23/1963,12,1,"$25,200.00 ","$14,100.00 ",90,55,0
120,f,11/12/1964,16,3,"$37,800.00 ","$15,750.00 ",90,7,0
121,f,8/6/1936,15,1,"$18,750.00 ","$10,500.00 ",90,54,0
122,f,9/26/1965,15,1,"$32,550.00 ","$13,500.00 ",90,22,0
123,f,4/24/1949,12,1,"$33,300.00 ","$15,000.00 ",90,3,0
124,f,5/29/1963,16,1,"$38,550.00 ","$16,500.00 ",90,0,0
125,m,8/6/1956,12,1,"$27,450.00 ","$15,000.00 ",90,173,1
126,m,1/21/1951,15,2,"$24,300.00 ","$15,000.00 ",90,191,1
127,m,9/1/1950,12,2,"$30,750.00 ","$15,000.00 ",90,209,1
128,f,7/25/1946,12,1,"$19,650.00 ","$9,750.00 ",90,229,1
129,m,7/18/1959,17,3,"$68,750.00 ","$27,510.00 ",89,38,0
130,m,9/6/1958,20,3,"$59,375.00 ","$30,000.00 ",89,6,0
131,m,2/8/1962,15,1,"$31,500.00 ","$15,750.00 ",89,22,0
132,m,5/17/1953,12,1,"$27,300.00 ","$17,250.00 ",89,175,0
133,m,9/12/1959,15,1,"$27,000.00 ","$15,750.00 ",89,87,0
134,f,11/10/1941,16,3,"$41,550.00 ","$24,990.00 ",89,285,0
135,f,5/22/1968,12,1,"$26,250.00 ","$10,950.00 ",89,0,0
136,m,8/25/1939,12,1,"$22,200.00 ","$15,000.00 ",88,324,0
137,m,7/12/1937,21,3,"$65,000.00 ","$37,500.00 ",88,264,0
138,m,1/9/1947,12,1,"$30,900.00 ","$15,000.00 ",88,252,0
139,f,6/18/1931,8,1,"$20,100.00 ","$13,200.00 ",88,90,0
140,f,4/5/1965,12,1,"$22,350.00 ","$13,500.00 ",88,26,0
141,f,6/14/1966,15,1,"$35,550.00 ","$13,350.00 ",88,32,0
142,f,11/13/1966,12,1,"$28,500.00 ","$13,950.00 ",88,34,0
143,f,8/24/1939,12,1,"$24,450.00 ","$13,200.00 ",88,107,0
144,f,8/28/1931,8,1,"$16,650.00 ","$9,750.00 ",88,412,0
145,m,1/15/1964,12,1,"$26,700.00 ","$13,500.00 ",88,38,1
146,m,1/2/1951,18,1,"$43,950.00 ","$23,250.00 ",88,182,1
147,m,9/11/1936,15,1,"$23,700.00 ","$13,500.00 ",88,359,1
148,f,10/5/1959,15,1,"$26,550.00 ","$14,250.00 ",88,61,1
149,m,6/28/1962,12,1,"$27,600.00 ","$15,000.00 ",87,75,0
150,m,3/5/1954,12,1,"$25,800.00 ","$15,000.00 ",87,143,0
151,m,8/16/1954,16,3,"$42,300.00 ","$26,250.00 ",87,126,0
152,m,5/3/1929,8,2,"$30,750.00 ","$15,000.00 ",87,451,0
153,f,5/13/1967,12,1,"$26,700.00 ","$12,900.00 ",87,18,0
154,f,6/7/1940,12,1,"$20,850.00 ","$12,000.00 ",87,163,0
155,m,3/6/1963,15,1,"$35,250.00 ","$15,000.00 ",87,54,1
156,m,1/12/1963,15,1,"$26,700.00 ","$15,000.00 ",87,56,1
157,f,7/2/1967,12,1,"$26,550.00 ","$13,050.00 ",87,11,1
158,f,9/20/1964,12,1,"$27,750.00 ","$12,000.00 ",87,11,1
159,f,1/13/1951,16,1,"$25,050.00 ","$12,750.00 ",87,123,1
160,m,8/27/1951,16,3,"$66,000.00 ","$47,490.00 ",86,150,0
161,m,2/11/1963,16,1,"$52,650.00 ","$19,500.00 ",86,20,0
162,m,5/25/1961,16,3,"$45,625.00 ","$23,250.00 ",86,60,0
163,m,11/10/1965,15,1,"$30,900.00 ","$15,000.00 ",86,25,0
164,f,8/13/1965,15,1,"$29,400.00 ","$16,500.00 ",86,24,0
165,f,4/29/1966,15,1,"$33,300.00 ","$13,500.00 ",86,24,0
166,f,7/12/1942,12,1,"$21,900.00 ","$9,750.00 ",86,156,0
167,f,8/26/1932,12,1,"$18,150.00 ","$9,750.00 ",86,72,0
168,f,4/23/1962,16,3,"$46,875.00 ","$17,250.00 ",86,19,0
169,m,5/23/1965,12,1,"$25,500.00 ","$14,400.00 ",86,37,1
170,m,6/13/1964,12,1,"$26,550.00 ","$15,000.00 ",86,38,1
171,m,1/21/1930,12,1,"$26,700.00 ","$13,500.00 ",86,367,1
172,f,6/13/1953,15,1,"$29,850.00 ","$15,000.00 ",86,79,1
173,m,1/15/1950,20,3,"$69,250.00 ","$42,480.00 ",85,134,0
174,m,1/7/1935,8,2,"$31,950.00 ","$15,000.00 ",85,438,0
175,m,1/8/1938,8,1,"$26,250.00 ","$15,600.00 ",85,171,0
176,f,10/5/1962,16,1,"$35,700.00 ","$17,250.00 ",85,19,0
177,f,8/11/1962,12,1,"$28,500.00 ","$16,500.00 ",85,69,0
178,f,1/17/1938,12,1,"$17,100.00 ","$10,200.00 ",85,72,0
179,m,1/19/1965,12,1,"$25,200.00 ","$13,050.00 ",85,29,1
180,f,1/23/1960,12,1,"$24,000.00 ","$12,750.00 ",85,59,1
181,f,1/4/1939,12,1,"$27,450.00 ","$10,200.00 ",85,101,1
182,f,3/8/1943,12,1,"$18,450.00 ","$10,200.00 ",85,228,1
183,m,3/1/1960,15,1,"$39,300.00 ","$15,750.00 ",84,72,0
184,m,11/5/1964,15,1,"$38,850.00 ","$15,000.00 ",84,53,0
185,m,8/28/1930,8,2,"$30,750.00 ","$15,000.00 ",84,380,0
186,m,7/6/1964,15,1,"$37,500.00 ","$20,400.00 ",84,33,0
187,m,7/29/1963,16,3,"$58,750.00 ","$21,750.00 ",84,13,0
188,f,2/4/1934,12,1,"$34,500.00 ","$18,750.00 ",84,208,0
189,f,3/28/1950,12,1,"$36,000.00 ","$19,980.00 ",84,240,0
190,f,11/15/1932,8,1,"$29,100.00 ","$16,500.00 ",84,35,0
191,f,10/23/1931,12,1,"$16,500.00 ","$10,200.00 ",84,288,0
192,m,10/9/1949,12,1,"$19,650.00 ","$12,750.00 ",84,180,1
193,f,7/22/1966,12,1,"$24,750.00 ","$12,000.00 ",84,41,1
194,f,4/10/1938,15,1,"$27,150.00 ","$15,750.00 ",84,231,1
195,f,11/6/1955,12,1,"$26,400.00 ","$12,750.00 ",84,36,1
196,f,3/3/1946,16,1,"$23,100.00 ","$12,000.00 ",84,214,1
197,m,10/1/1962,15,3,"$54,900.00 ","$25,500.00 ",83,49,0
198,m,3/17/1952,19,3,"$70,875.00 ","$43,500.00 ",83,156,0
199,m,2/2/1958,16,3,"$51,250.00 ","$27,480.00 ",83,69,0
200,m,2/13/1963,17,3,"$67,500.00 ","$34,980.00 ",83,9,0
201,m,5/8/1955,12,1,"$29,340.00 ","$19,500.00 ",83,150,0
202,m,3/17/1963,15,1,"$39,600.00 ","$16,500.00 ",83,47,0
203,m,3/17/1964,12,1,"$29,100.00 ","$15,000.00 ",83,50,0
204,m,10/21/1960,15,1,"$33,150.00 ","$16,500.00 ",83,69,0
205,m,6/22/1944,16,3,"$66,750.00 ","$52,500.00 ",83,258,0
206,m,5/22/1943,12,2,"$33,750.00 ","$15,000.00 ",83,284,0
207,m,2/15/1959,15,1,"$27,300.00 ","$17,250.00 ",83,91,0
208,f,11/28/1968,12,1,"$24,000.00 ","$11,250.00 ",83,16,0
209,f,1/14/1934,8,1,"$19,800.00 ","$10,200.00 ",83,75,0
210,m,5/4/1949,15,1,"$30,600.00 ","$16,500.00 ",83,216,1
211,m,11/8/1950,15,,"$28,950.00 ","$15,000.00 ",83,108,1
212,m,5/14/1965,15,1,"$38,400.00 ","$16,500.00 ",83,64,1
213,m,10/20/1945,8,2,"$30,750.00 ","$15,000.00 ",83,302,1
214,f,9/13/1968,12,1,"$20,400.00 ","$10,950.00 ",83,9,1
215,f,9/15/1968,12,1,"$19,200.00 ","$11,100.00 ",83,7,1
216,m,5/16/1964,15,1,"$30,150.00 ","$15,750.00 ",82,72,0
217,m,3/15/1949,16,1,"$34,620.00 ","$27,750.00 ",82,149,0
218,m,3/21/1964,15,1,"$80,000.00 ","$15,750.00 ",82,34,0
219,m,2/2/1963,12,1,"$25,350.00 ","$15,000.00 ",82,32,0
220,m,8/17/1963,12,1,"$29,850.00 ","$15,750.00 ",82,85,0
221,f,5/22/1947,12,1,"$24,000.00 ","$13,800.00 ",82,97,0
222,f,9/15/1935,15,1,"$27,750.00 ","$19,500.00 ",82,265,0
223,f,3/14/1942,8,1,"$22,350.00 ","$10,200.00 ",82,48,0
224,f,11/20/1934,12,1,"$16,200.00 ","$10,200.00 ",82,0,0
225,f,10/13/1967,15,1,"$21,900.00 ","$12,750.00 ",82,0,0
226,f,6/21/1964,16,1,"$23,250.00 ","$15,750.00 ",82,4,0
227,f,7/17/1965,12,1,"$33,900.00 ","$12,000.00 ",82,11,0
228,f,9/21/1963,15,1,"$25,650.00 ","$14,250.00 ",82,51,0
229,f,8/21/1940,12,1,"$17,250.00 ","$10,200.00 ",82,358,0
230,m,2/4/1934,15,1,"$22,500.00 ","$15,000.00 ",82,371,1
231,m,1/9/1965,16,3,"$40,200.00 ","$21,000.00 ",81,3,0
232,m,9/13/1963,19,3,"$55,500.00 ","$33,750.00 ",81,62,0
233,m,7/21/1963,15,1,"$26,550.00 ","$15,000.00 ",81,52,0
234,m,11/12/1960,15,1,"$50,550.00 ","$19,500.00 ",81,44,0
235,m,9/11/1962,19,3,"$75,000.00 ","$31,500.00 ",81,13,0
236,f,5/2/1969,8,1,"$27,450.00 ","$12,000.00 ",81,9,0
237,f,6/4/1969,12,1,"$22,650.00 ","$11,250.00 ",81,0,0
238,f,6/15/1969,12,1,"$27,300.00 ","$11,250.00 ",81,5,0
239,f,9/14/1969,12,1,"$27,750.00 ","$11,225.00 ",81,5,0
240,f,6/15/1961,16,3,"$54,375.00 ","$18,750.00 ",81,81,0
241,f,8/27/1936,8,1,"$17,400.00 ","$10,200.00 ",81,390,0
242,f,11/3/1967,12,1,"$40,800.00 ","$18,000.00 ",81,4,0
243,f,2/10/1969,12,1,"$23,100.00 ","$10,950.00 ",81,0,0
244,f,9/15/1969,8,1,"$22,500.00 ","$10,950.00 ",81,5,0
245,f,3/16/1969,12,1,"$26,700.00 ","$11,550.00 ",81,18,0
246,f,1/14/1968,12,1,"$24,900.00 ","$11,250.00 ",81,0,0
247,f,5/13/1968,12,1,"$19,650.00 ","$10,950.00 ",81,11,0
248,f,4/9/1969,12,1,"$22,050.00 ","$10,950.00 ",81,9,0
249,f,5/9/1969,12,1,"$25,500.00 ","$12,000.00 ",81,11,0
250,f,10/10/1966,15,1,"$28,200.00 ","$12,750.00 ",81,19,0
251,,1/19/1969,12,1,"$23,100.00 ","$11,250.00 ",81,13,0
252,m,9/18/1969,12,1,"$25,500.00 ","$11,400.00 ",81,9,1
253,f,2/21/1942,8,1,"$17,100.00 ","$10,200.00 ",81,0,1
254,m,2/8/1964,18,3,"$68,125.00 ","$32,490.00 ",80,29,0
255,m,8/15/1932,12,2,"$30,600.00 ","$15,750.00 ",80,460,0
256,m,1/3/1948,19,3,"$52,125.00 ","$27,480.00 ",80,221,0
257,m,9/24/1951,19,3,"$61,875.00 ","$36,750.00 ",80,199,0
258,m,3/9/1969,8,1,"$21,300.00 ","$11,550.00 ",80,24,0
259,f,3/15/1969,12,1,"$19,650.00 ","$11,250.00 ",80,5,0
260,f,2/20/1969,12,1,"$22,350.00 ","$11,250.00 ",80,5,0
261,f,3/27/1969,12,1,"$23,400.00 ","$11,250.00 ",80,18,0
262,f,6/20/1968,12,1,"$24,300.00 ","$10,950.00 ",80,8,0
263,f,10/13/1968,12,1,"$28,500.00 ","$11,250.00 ",80,4,0
264,f,1/16/1969,12,1,"$19,950.00 ","$11,250.00 ",80,8,0
265,f,9/24/1969,12,1,"$23,400.00 ","$11,250.00 ",80,0,0
266,f,10/7/1963,16,1,"$34,500.00 ","$17,250.00 ",80,3,0
267,f,8/24/1969,12,1,"$18,150.00 ","$10,950.00 ",80,0,0
268,m,5/16/1936,12,1,"$22,350.00 ","$15,000.00 ",80,272,1
269,m,3/17/1966,15,1,"$40,200.00 ","$17,250.00 ",79,38,0
270,m,10/29/1947,15,1,"$28,650.00 ","$18,000.00 ",79,261,0
271,m,8/24/1963,15,1,"$27,750.00 ","$16,500.00 ",79,55,0
272,m,6/17/1964,18,1,"$66,875.00 ","$31,980.00 ",79,30,0
273,m,11/12/1939,12,2,"$30,000.00 ","$15,750.00 ",79,308,0
274,m,8/4/1964,16,3,"$83,750.00 ","$21,750.00 ",79,12,0
275,m,1/14/1963,12,1,"$33,900.00 ","$16,500.00 ",79,94,0
276,m,5/11/1965,16,3,"$56,500.00 ","$21,000.00 ",79,12,0
277,f,5/20/1965,16,3,"$43,000.00 ","$17,490.00 ",79,20,0
278,f,6/12/1943,8,1,"$20,850.00 ","$12,000.00 ",79,70,0
279,f,4/16/1969,12,1,"$24,450.00 ","$12,000.00 ",79,8,0
280,f,10/20/1969,12,1,"$24,750.00 ","$10,950.00 ",79,5,0
281,m,2/18/1945,8,2,"$34,500.00 ","$15,750.00 ",79,246,1
282,m,9/15/1963,14,1,"$27,900.00 ","$15,000.00 ",79,47,1
283,m,2/25/1963,19,3,"$68,125.00 ","$32,010.00 ",78,35,0
284,m,10/10/1961,19,3,"$73,500.00 ","$33,000.00 ",78,45,0
285,m,5/28/1930,8,2,"$30,750.00 ","$15,750.00 ",78,429,0
286,m,3/7/1958,15,,"$40,050.00 ","$25,500.00 ",78,133,0
287,m,1/18/1965,16,1,"$40,350.00 ","$19,500.00 ",78,20,0
288,m,1/22/1955,15,3,"$38,700.00 ","$23,730.00 ",78,176,0
289,m,10/27/1964,17,3,"$65,000.00 ","$30,750.00 ",78,26,0
290,m,4/5/1954,18,3,"$51,450.00 ","$36,240.00 ",78,149,0
291,m,9/23/1934,12,2,"$35,250.00 ","$15,750.00 ",78,387,0
292,m,5/7/1963,14,1,"$25,950.00 ","$15,000.00 ",78,53,0
293,m,9/19/1965,15,1,"$25,050.00 ","$14,250.00 ",78,24,0
294,m,10/10/1968,12,1,"$26,700.00 ","$12,750.00 ",78,25,0
295,m,8/20/1932,8,1,"$24,000.00 ","$15,750.00 ",78,476,0
296,m,2/12/1964,12,1,"$26,850.00 ","$15,000.00 ",78,48,0
297,f,4/16/1942,12,1,"$23,400.00 ","$15,300.00 ",78,209,0
298,f,8/24/1966,12,1,"$24,600.00 ","$13,500.00 ",78,47,0
299,f,5/11/1965,15,1,"$32,550.00 ","$18,000.00 ",78,6,0
300,m,5/26/1960,16,1,"$26,550.00 ","$15,000.00 ",78,105,1
301,m,8/4/1968,12,1,"$31,500.00 ","$13,500.00 ",78,7,1
302,m,9/28/1939,8,1,"$22,350.00 ","$15,000.00 ",78,320,1
303,m,2/10/1938,12,2,"$35,250.00 ","$15,750.00 ",78,281,1
304,f,9/28/1945,15,1,"$25,800.00 ","$13,500.00 ",78,51,1
305,m,10/25/1941,12,2,"$30,750.00 ","$15,750.00 ",77,317,0
306,m,4/5/1966,15,1,"$30,750.00 ","$16,500.00 ",77,41,0
307,m,7/24/1945,16,3,"$50,000.00 ","$32,490.00 ",77,264,0
308,m,2/1/1963,15,1,"$34,500.00 ","$18,000.00 ",77,63,0
309,m,7/19/1964,15,1,"$26,250.00 ","$15,750.00 ",77,38,0
310,m,3/23/1964,16,1,"$44,875.00 ","$21,240.00 ",77,22,0
311,f,2/15/1951,12,1,"$22,500.00 ","$12,000.00 ",77,63,0
312,f,3/12/1963,12,1,"$25,650.00 ","$14,250.00 ",77,64,0
313,f,10/25/1969,12,1,"$21,300.00 ","$11,250.00 ",77,0,0
314,f,11/24/1966,12,1,"$29,850.00 ","$13,500.00 ",77,38,0
315,f,9/19/1969,12,1,"$34,500.00 ","$12,150.00 ",77,4,0
316,m,1/14/1960,15,1,"$27,750.00 ","$15,000.00 ",77,52,1
317,m,2/27/1969,12,1,"$27,750.00 ","$11,550.00 ",77,12,1
318,m,2/19/1961,16,3,"$48,750.00 ","$21,990.00 ",76,61,0
319,m,3/2/1966,15,1,"$43,410.00 ","$15,750.00 ",76,12,0
320,m,11/10/1936,12,1,"$22,050.00 ","$15,000.00 ",76,385,0
321,f,10/26/1953,12,1,"$22,050.00 ","$12,000.00 ",76,6,0
322,f,3/2/1938,12,1,"$22,500.00 ","$14,250.00 ",76,90,0
323,f,5/13/1967,15,1,"$25,500.00 ","$12,000.00 ",76,7,0
324,f,10/14/1966,12,1,"$29,160.00 ","$15,000.00 ",76,22,0
325,f,11/4/1934,8,1,"$16,800.00 ","$10,200.00 ",76,76,0
326,m,7/24/1958,8,2,"$29,550.00 ","$15,750.00 ",76,144,1
327,m,3/2/1965,12,1,"$26,700.00 ","$15,750.00 ",76,18,1
328,m,10/25/1952,18,3,"$55,000.00 ","$32,490.00 ",75,125,0
329,,8/24/1958,18,3,"$62,500.00 ","$34,980.00 ",75,74,0
330,m,5/9/1959,15,1,"$27,300.00 ","$17,250.00 ",75,132,0
331,f,2/4/1942,12,1,"$24,450.00 ","$12,000.00 ",75,144,0
332,f,5/10/1964,16,1,"$33,000.00 ","$18,000.00 ",75,26,0
333,f,1/26/1965,15,1,"$37,050.00 ","$18,000.00 ",75,5,0
334,f,5/9/1966,12,1,"$24,450.00 ","$10,950.00 ",75,32,1
335,m,2/26/1930,8,2,"$31,950.00 ","$15,750.00 ",74,408,0
336,m,1/10/1964,16,3,"$47,250.00 ","$21,240.00 ",74,45,0
337,f,1/27/1970,12,1,"$26,100.00 ","$11,550.00 ",74,2,0
338,f,8/12/1938,8,1,"$15,900.00 ","$10,200.00 ",74,43,0
339,f,11/7/1942,8,1,"$23,700.00 ","$10,650.00 ",74,281,0
340,f,5/6/1934,8,1,"$21,750.00 ","$12,450.00 ",74,318,0
341,m,1/20/1945,12,3,"$59,400.00 ","$33,750.00 ",74,272,1
342,f,6/1/1948,12,1,"$24,450.00 ","$14,250.00 ",74,117,1
343,m,6/9/1953,16,3,"$103,500.00 ","$60,000.00 ",73,150,0
344,m,10/13/1963,12,1,"$35,700.00 ","$16,500.00 ",73,72,0
345,f,5/5/1969,12,1,"$22,200.00 ","$16,500.00 ",73,7,0
346,f,8/16/1968,15,1,"$22,950.00 ","$13,950.00 ",73,22,0
347,f,8/10/1944,12,1,"$23,100.00 ","$12,000.00 ",73,228,0
348,f,6/11/1962,16,3,"$56,750.00 ","$30,000.00 ",73,15,0
